ville_id,ville,lat,lon,,,,
382,Luxembourg,48.84886,2.33542,,,,
383,LUZ ARDIDEN,42.87354,-0.00287,,,,
384,LUZ SAINT SAUVER,42.87354,-0.00287,,,,
385,LYON,45.76404,4.83566,,,,
386,MAASTRICHT,50.85137,5.69097,,,,
387,MACHECOUL,46.99228,-1.8172,,,,
388,Macon,46.30688,4.82873,,,,
389,MALO LES BAINS,51.04868,2.40107,,,,
390,MANOSQUE,43.83574,5.79092,,,,
391,MARCHE EN FAMENNE,50.22829,5.34416,,,,
392,MARCOUSSIS,48.64245,2.22988,,,,
393,MARENNES,45.82375,-1.104,,,,
394,MARSEILLE,43.29648,5.36978,,,,
395,Martigny,48.61439,-1.10504,,,,
396,MARTIGUES,43.40481,5.05373,,,,
397,MAUBEUGE,50.28023,3.9674,,,,
398,MAYENNE,48.30509,-0.61856,,,,
399,MAZAMET,43.4901,2.37658,,,,
400,MAZE MONTGEOFROY,47.46848,-0.27705,,,,
401,MEDUN,48.813,2.23847,,,,
402,MELUN,48.54211,2.6554,,,,
403,MENDE,44.51761,3.50187,,,,
404,MENTON,43.77448,7.49754,,,,
405,MERIBEL LES ALLUES,45.39688,6.56517,,,,
406,MERLIN PLAGE,46.6664,-1.5051,,,,
407,METZ,49.11931,6.17572,,,,
408,MEUDON,48.813,2.23847,,,,
409,MEYRIGNAC,45.39907,1.85459,,,,
410,MILLAU,44.10058,3.0778,,,,
411,MIRAMAS,43.5889,5.00214,,,,
412,MOANCO,43.40501,5.26312,,,,
413,Modane,45.20149,6.67292,,,,
414,MOHLIN,47.55913,7.84425,,,,
415,MOLENBEEK,50.8522,4.33033,,,,
416,MONACO,43.40501,5.26312,,,,
417,MONETIER LES BAINS,44.97625,6.50784,,,,
418,MONS,50.45,3.95,,,,
419,MONT DE MARSAN,43.89349,-0.49978,,,,
420,Mont des Alouettes,46.89401,-1.00944,,,,
421,MONT REVARD,45.66649,5.97784,,,,
422,MONT VENTOUX,44.17409,5.27868,,,,
423,MONTAIGU,46.97435,-1.31378,,,,
424,MONTARGIS,47.99729,2.73629,,,,
425,MONTAUBAN,44.02213,1.35296,,,,
426,MONTBELIARD,47.51036,6.79847,,,,
427,MONTCEAU LES MINES,46.67413,4.36298,,,,
428,MONTELIMAR,44.55694,4.7495,,,,
429,MONTEREAU,48.38473,2.95619,,,,
430,Montereau Fault Yonne,48.38473,2.95619,,,,
431,MONTGENEVRE,44.93079,6.72214,,,,
432,MONTGERON,48.70386,2.46045,,,,
433,MONTHLERY,48.63832,2.2715,,,,
434,MONTLUCON,46.34155,2.60199,,,,
435,MONTPELLIER,43.61077,3.87672,,,,
436,MONTPON,45.00885,0.16278,,,,
437,MONTPON MENESTEROL,45.00927,0.162,,,,
438,MONTREUIL SOUS BOIS,48.86381,2.44845,,,,
439,MORCENX,44.03365,-0.91125,,,,
440,MORLAIX,48.57761,-3.82823,,,,
441,MORZINE,46.17919,6.70888,,,,
442,MORZINE AVORIAZ,46.18823,6.7751,,,,
443,Morzine-Avoriaz,46.18823,6.7751,,,,
444,MOURENX,43.36826,-0.62055,,,,
445,MOUSCROM,50.74591,3.21929,,,,
446,MOUTIERS,45.48462,6.52993,,,,
447,MOUTIERS LES ORRES,45.48648,6.53141,,,,
448,MULHOSE,47.75084,7.33589,,,,
449,MULHOUSE,47.75084,7.33589,,,,
450,Mur de Bretagne,48.20171,-2.98759,,,,
